N_hat,N_sd,T_hat,T_sd,R_hat,R_sd,pub_id,date,year
0.2123831772481087,0.11980001060002798,0.28253888355948154,0.13929907397406704,-0.07015570631137283,0.12954954228704751,p231,1983-08-01,1983
0.20578865292986506,0.11837493652684815,0.2886314575892433,0.12875395774830506,-0.08284280465937824,0.12356444713757661,p235,1983-10-01,1983
0.3406347539782462,0.13735338324205254,0.4809153524157437,0.12467674663063567,-0.14028059843749746,0.1310150649363441,p88,1984-10-01,1984
0.5213009251701008,0.15940427427764406,0.3423043332565873,0.13454980725279944,0.17899659191351353,0.14697704076522175,p127,1985-03-01,1985
0.2567111876952145,0.17369397811160406,0.1645552576512143,0.08254797612909465,0.09215593004400022,0.12812097712034937,p126,1985-06-01,1985
0.2187706805753346,0.1539022622073705,0.19330031996143046,0.11039575460797937,0.025470360613904147,0.13214900840767493,p125,1985-10-01,1985
0.3731985410307545,0.18744598426757203,0.23416002062659227,0.12824401321599377,0.13903852040416223,0.1578449987417829,p124,1985-11-01,1985
0.3724104734461533,0.19929264382215925,0.2518108429067723,0.12933490924598584,0.120599630539381,0.16431377653407253,p115,1986-01-01,1986
0.25620325736028493,0.17070641840953177,0.16851676296421184,0.08901152832953788,0.0876864943960731,0.12985897336953484,p111,1986-01-01,1986
0.34616036104129433,0.21171450645968476,0.2471064252841028,0.12431647388052018,0.09905393575719154,0.16801549017010248,p113,1986-01-01,1986
0.2707830275936693,0.13912814499252918,0.223649909543478,0.11549238072742583,0.0471331180501913,0.1273102628599775,p112,1986-06-01,1986
0.22597886036640577,0.11965336664543011,0.16896074071937925,0.09395730892065217,0.05701811964702652,0.10680533778304113,p114,1986-12-01,1986
0.30609122062912913,0.1777312031204325,0.23605836467908836,0.11153642001733481,0.07003285595004077,0.14463381156888366,p77,1987-06-01,1987
0.2645711348085699,0.1727345177617941,0.21376141436796106,0.10552339883697442,0.05080972044060886,0.13912895829938426,p78,1987-12-01,1987
0.22157323281845065,0.12657923075312258,0.16582966499223759,0.09017963712148364,0.055743567826213064,0.10837943393730311,p79,1987-12-01,1987
0.2234492902943652,0.14644584503288208,0.1784962135299385,0.09293830414805872,0.0449530767644267,0.1196920745904704,p87,1988-01-01,1988
0.3048969638338333,0.14086839601689266,0.29856191089732603,0.13423196828070486,0.006335052936507268,0.13755018214879877,p85,1988-03-01,1988
0.2037378427529355,0.11309394571639961,0.1640761972574073,0.09310009304359042,0.0396616454955282,0.10309701937999502,p86,1988-06-01,1988
0.20805839769190107,0.10906584200455695,0.1872493090236655,0.10495923011843405,0.02080908866823558,0.1070125360614955,p82,1989-01-01,1989
0.1942809281682121,0.10787178569674329,0.17174612125310626,0.0948803230792258,0.022534806915105843,0.10137605438798454,p83,1989-01-01,1989
0.1938184591937442,0.11061088295011234,0.17431724750306934,0.0893637455847782,0.01950121169067487,0.09998731426744528,p81,1989-03-01,1989
0.2632101786454151,0.12497779619204674,0.2653241901408465,0.12842092752602519,-0.0021140114954313893,0.12669936185903596,p84,1989-06-01,1989
0.3462340083030102,0.13266583157422757,0.35629511462125085,0.1289256042694132,-0.010061106318240642,0.13079571792182038,p192,1990-01-01,1990
0.2575116459467896,0.12493474740089817,0.26911753620165096,0.12147798843324302,-0.011605890254861362,0.1232063679170706,p227,1991-01-01,1991
0.17163656045309125,0.07370647743092183,0.1616611432266394,0.07892727514671831,0.009975417226451844,0.07631687628882007,p230,1991-01-01,1991
0.3608254539620711,0.14191102002158157,0.3371312655827231,0.10760199218703509,0.023694188379348002,0.12475650610430833,p223,1991-01-01,1991
0.17388116883788385,0.08847351632583271,0.13923061481426474,0.0495108059298173,0.03465055402361911,0.068992161127825,p225,1991-01-01,1991
0.18862841612494208,0.1010726084491005,0.19184662126417304,0.09882609736887378,-0.003218205139230962,0.09994935290898714,p229,1991-01-01,1991
0.17131850739753313,0.09111391557817813,0.16857762423477105,0.08096606485240093,0.002740883162762081,0.08603999021528953,p228,1991-10-01,1991
0.1957322962077719,0.1017239751720329,0.1748349540227337,0.10310159560364962,0.02089734218503822,0.10241278538784127,p224,1991-10-01,1991
0.15678961076337608,0.0908572367689603,0.18009611520255242,0.08711448003424066,-0.02330650443917634,0.08898585840160048,p226,1991-10-01,1991
0.18908724816141392,0.09742958633107664,0.17753207970144905,0.09648233260764366,0.011555168459964876,0.09695595946936014,p131,1992-01-01,1992
0.21430830484608104,0.10751820742817339,0.19105631845309334,0.11251868501421812,0.0232519863929877,0.11001844622119575,p133,1992-03-01,1992
0.2545952425101201,0.11205848591872546,0.3003993970923201,0.13871685789224328,-0.045804154582199996,0.12538767190548436,p128,1992-03-01,1992
0.27312560627792215,0.1277623627689191,0.33284316282811277,0.14296295760933045,-0.05971755655019062,0.1353626601891248,p129,1992-04-01,1992
0.17057795183316146,0.09220184897306748,0.18166882885748475,0.08187097354804163,-0.011090877024323292,0.08703641126055456,p132,1992-04-01,1992
0.1765784304890534,0.10428407327406598,0.17816214950410836,0.08332702169333668,-0.0015837190150549685,0.09380554748370133,p130,1992-11-01,1992
0.17125302741295226,0.09015959380044197,0.18788376300848358,0.07932270728991649,-0.016630735595531326,0.08474115054517922,p256,1993-01-01,1993
0.17083347559984433,0.08720057727699344,0.22182431506776717,0.11328632299762778,-0.05099083946792285,0.10024345013731062,p251,1993-01-01,1993
0.2250119364585544,0.11192635056451437,0.1999389777268703,0.09852630775487865,0.02507295873168411,0.10522632915969651,p253,1993-01-01,1993
0.24480400066386593,0.11853254357383051,0.303307193389499,0.15254529114661225,-0.05850319272563309,0.1355389173602214,p252,1993-01-01,1993
0.21202735980704765,0.11485948566300098,0.1818245006807019,0.08852198460985113,0.030202859126345738,0.10169073513642606,p258,1993-06-01,1993
0.16589068244240654,0.08121547044022805,0.21686357360219874,0.11881000681068031,-0.0509728911597922,0.10001273862545418,p250,1993-08-01,1993
0.16966935567128363,0.08773265904564585,0.1805605866412059,0.08581849617939778,-0.010891230969922255,0.08677557761252182,p254,1993-09-01,1993
0.2050139924085974,0.10048595547921191,0.2639844256367513,0.14314778906147868,-0.05897043322815387,0.1218168722703453,p255,1993-11-01,1993
0.16740890759461968,0.09031583303430428,0.18948344915967216,0.08926614006521692,-0.02207454156505248,0.0897909865497606,p257,1993-12-01,1993
0.4139325102229585,0.10671387597039178,0.36159096668301105,0.14961006502420565,0.052341543539947466,0.12816197049729872,p147,1994-01-01,1994
0.16535411820249124,0.10074391290584735,0.1840116120766273,0.0880163512151051,-0.018657493874136066,0.09438013206047621,p145,1994-04-01,1994
0.3311656889831079,0.12461056017935332,0.32369411077788346,0.14630645199718798,0.007471578205224427,0.13545850608827065,p150,1994-06-01,1994
0.20642931910784898,0.10932810899118217,0.2016095998099503,0.12295259241526339,0.004819719297898678,0.11614035070322279,p151,1994-07-01,1994
0.24413905707337913,0.12399285540672296,0.2575884080147315,0.1370327326995096,-0.013449350941352356,0.13051279405311628,p149,1994-07-01,1994
0.19566727629860287,0.1118070231337051,0.21691088384249566,0.11326768720954579,-0.02124360754389279,0.11253735517162544,p146,1994-09-01,1994
0.24368274919703678,0.12971379285399215,0.3056507377768531,0.14080261611449094,-0.06196798857981631,0.13525820448424153,p152,1994-10-01,1994
0.2463673680424951,0.12295217560076227,0.17248857751769672,0.09059635630962957,0.07387879052479837,0.10677426595519593,p148,1994-12-01,1994
0.29523290146428893,0.1379505941540886,0.20617133627845705,0.11192836147975459,0.08906156518583189,0.1249394778169216,p156,1995-01-01,1995
0.21647147627751878,0.10849346877720718,0.1673074946995393,0.08235377935566622,0.04916398157797949,0.0954236240664367,p158,1995-01-01,1995
0.19409214784863627,0.09732126622153764,0.18244290848246833,0.07966395016877081,0.011649239366167935,0.08849260819515423,p157,1995-02-01,1995
0.20852677802217856,0.11762055871634226,0.2684827011750015,0.14432162588305675,-0.05995592315282294,0.1309710922996995,p159,1995-08-01,1995
0.2864918191917183,0.15618924476323776,0.2302558160018337,0.11925607289090455,0.05623600318988459,0.13772265882707116,p177,1996-01-01,1996
0.18506475664473773,0.07950726250248646,0.18663122159107615,0.09135950563678154,-0.001566464946338414,0.085433384069634,p180,1996-01-01,1996
0.17285938537046536,0.08354856656072414,0.20728673909785025,0.10121992302746778,-0.034427353727384896,0.09238424479409596,p184,1996-01-01,1996
0.2250156934509208,0.12228984211189964,0.17758140681337503,0.10060571743246276,0.04743428663754576,0.1114477797721812,p181,1996-03-01,1996
0.2213739565615181,0.11926750534529938,0.18633667505196236,0.09683106190112861,0.035037281509555734,0.108049283623214,p182,1996-05-01,1996
0.20923750086416976,0.11387338701463816,0.2629233334136836,0.1353496891438472,-0.05368583254951387,0.12461153807924269,p179,1996-06-01,1996
0.3605421442575659,0.14651439174714448,0.3044359067527815,0.151111338030722,0.05610623750478444,0.14881286488893325,p185,1996-07-01,1996
0.18869553162227848,0.08796365768660669,0.20172829289523228,0.0958802862276214,-0.013032761272953802,0.09192197195711405,p178,1996-10-01,1996
0.2242622930777072,0.12059138152975658,0.21265223423455107,0.12820362679455014,0.011610058843156135,0.12439750416215337,p183,1996-12-01,1996
0.19749731714072744,0.10344898495471591,0.23524457467509233,0.12104643212399675,-0.03774725753436489,0.11224770853935634,p121,1997-01-01,1997
0.18636605530423306,0.11101608867583346,0.23817097391402617,0.11823359498359448,-0.05180491860979311,0.11462484182971397,p119,1997-01-01,1997
0.17251551309372912,0.06052351032871127,0.21038952198752744,0.08515337906351672,-0.03787400889379833,0.072838444696114,p122,1997-01-01,1997
0.21537160892605414,0.11291999539259892,0.2361049363552579,0.14130803001316192,-0.02073332742920375,0.12711401270288042,p273,1997-01-01,1997
0.34774897927799475,0.13510119544921248,0.36340881518491475,0.16857240928688474,-0.015659835906919994,0.1518368023680486,p120,1997-02-01,1997
0.16257035802638956,0.08094533524473363,0.20279506438469408,0.11502477093426787,-0.040224706358304524,0.09798505308950076,p123,1997-05-01,1997
0.27769434508962276,0.1322619218957577,0.3435372417110873,0.1823744387177427,-0.06584289662146453,0.1573181803067502,p118,1997-11-01,1997
